rd,x,z,anchor,pkt_idx,theta1_true,theta2_true,rss_db_1,fp_db_1,quality_1,f1_1,f2_1,f3_1,N1,rss_db_2,fp_db_2,quality_2,f1_2,f2_2,f3_2,N2
2.25,0.225,-2.025,2,1,0.380506377,-0.5404195,-72.2,-92.15,97.37,2118,1558,1116,237,-69.18,-74.99,153.29,4303,4292,3602,232
2.25,0.225,-2.025,2,2,0.380506377,-0.5404195,-72.27,-91.54,92.31,2266,1477,1138,227,-69.93,-77.3,206.55,4412,4131,3067,241
2.25,0.225,-2.025,2,3,0.380506377,-0.5404195,-69.25,-89.1,108.8,2986,2176,1679,237,-70.29,-76.28,167.71,3864,4025,3913,234
2.25,0.225,-2.025,2,4,0.380506377,-0.5404195,-72.29,-91.87,73.65,2319,1473,1175,240,-68.64,-75.83,188.46,4601,4523,3172,243
2.25,0.225,-2.025,2,5,0.380506377,-0.5404195,-72.63,-91.31,101.75,2147,1628,1378,228,-70.37,-76.89,196,4204,3920,3557,237
2.25,0.225,-2.025,2,6,0.380506377,-0.5404195,-71.99,-92.65,123.5,2057,1482,946,238,-68.94,-75.66,184.5,4546,4428,3340,241
2.25,0.225,-2.025,2,7,0.380506377,-0.5404195,-72.47,-90.7,104.37,2641,1670,1353,239,-69.22,-74.91,156.36,4390,4378,3734,237
2.25,0.225,-2.025,2,8,0.380506377,-0.5404195,-72.62,-91.67,80,2266,1600,1225,238,-70.17,-76.51,196.3,4159,3926,3269,228
2.25,0.225,-2.025,2,9,0.380506377,-0.5404195,-72.63,-91.57,92.37,2316,1478,1237,234,-69.88,-75.56,185.67,4259,4456,3712,241
2.25,0.225,-2.025,2,10,0.380506377,-0.5404195,-72.39,-91.73,74.3,2226,1486,1106,229,-69.2,-74.43,155.25,4397,4347,3816,234
2.25,0.225,-2.025,2,11,0.380506377,-0.5404195,-71.86,-92.16,96.94,2193,1551,1066,240,-68.69,-74.65,139.78,4417,4473,3715,237
2.25,0.225,-2.025,2,12,0.380506377,-0.5404195,-71.66,-92.96,117.92,1842,1415,986,230,-69.2,-74.43,135.34,4365,4331,3929,235
2.25,0.225,-2.025,2,13,0.380506377,-0.5404195,-72.86,-90.83,103.94,2442,1663,1262,229,-69.1,-76.33,181.25,4399,4350,3102,238
2.25,0.225,-2.025,2,14,0.380506377,-0.5404195,-71.78,-91.7,74.1,2399,1482,1183,241,-70,-77.51,151.68,4253,4247,2766,237
2.25,0.225,-2.025,2,15,0.380506377,-0.5404195,-72.82,-91.13,86.5,2270,1730,1412,235,-69.16,-75.53,132.25,4256,4232,3416,231
2.25,0.225,-2.025,2,16,0.380506377,-0.5404195,-72.07,-91.68,93.56,2234,1497,1155,230,-70.4,-78.05,108.44,4009,3904,3128,234
2.25,0.225,-2.025,2,17,0.380506377,-0.5404195,-71.46,-90.2,116.12,2626,1858,1378,232,-69.95,-76.46,122.72,4183,3927,3262,228
2.25,0.225,-2.025,2,18,0.380506377,-0.5404195,-71.6,-91.57,99,2444,1584,1042,240,-68.71,-74.85,220.25,4390,4405,3611,235
2.25,0.225,-2.025,2,19,0.380506377,-0.5404195,-71.76,-93.24,77.69,1919,1243,895,231,-68.98,-75.21,154.96,4328,4339,3471,233
2.25,0.225,-2.025,2,20,0.380506377,-0.5404195,-70.1,-90.35,113.69,2489,1819,1346,227,-70.35,-76.37,170.75,3756,4098,3906,234
2.25,0.225,-2.025,2,21,0.380506377,-0.5404195,-71.47,-92.97,91.69,1927,1467,943,237,-68.95,-74.4,153.5,4311,4298,3809,231
2.25,0.225,-2.025,2,22,0.380506377,-0.5404195,-71.83,-92.41,93.62,2108,1498,927,235,-69.16,-74.67,180.25,4286,4326,3553,229
