RSS1_LoS1,RSS2_LoS1,RSS1_LoS2,RSS2_LoS2,RSS1_combined,RSS2_combined,d1,d2,room_dim_meter,theta1_true,theta2_true
1.30E-05,4.07E-05,4.10E-05,1.33E-05,0.0000537,0.0000321,3.801315628,4.201190376,8.000000135,1.54448661,-1.546991301
1.37E-05,4.32E-05,3.90E-05,1.27E-05,0.0000377,0.0000553,3.601388595,4.401136226,7.999999983,1.54302569,-1.548072966
1.46E-05,4.59E-05,3.71E-05,1.21E-05,0.0000286,0.0000455,3.401470318,4.601086838,8.000000058,1.541393039,-1.54906062
1.55E-05,4.90E-05,3.55E-05,1.16E-05,0.0000505,0.0000406,3.201562081,4.801041609,8.000000018,1.539556493,-1.549966007
1.65E-05,5.26E-05,3.40E-05,1.11E-05,0.0000345,0.000063,3.001666211,5.000999945,8.000000052,1.537475331,-1.550798993
1.77E-05,5.67E-05,3.26E-05,1.07E-05,0.0000225,0.0000563,2.801785136,5.200961532,8.000000073,1.535097214,-1.551567928
1.91E-05,6.15E-05,3.13E-05,1.03E-05,0.0000496,0.0000536,2.601922382,5.400925926,8.000000095,1.532353737,-1.552279925
2.07E-05,6.72E-05,3.01E-05,9.90E-06,0.0000336,0.0000764,2.402082447,5.600892894,8.000000125,1.529153748,-1.552941082
2.26E-05,7.41E-05,2.90E-05,9.55E-06,0.0000181,0.0000736,2.202271536,5.800862139,8.000000116,1.525373047,-1.553556656
2.48E-05,8.25E-05,2.80E-05,9.22E-06,0.0000518,0.0000753,2.002498437,6.000833246,7.999999968,1.520837931,-1.554131203
2.76E-05,9.30E-05,2.70E-05,8.92E-06,0.0000358,0.000101314,1.802775652,6.200806418,8.000000033,1.515297822,-1.554668693
3.10E-05,0.000106434,2.61E-05,8.64E-06,0.0000193,0.000105354,1.603121959,6.400781131,7.999999933,1.508377517,-1.555172598
3.53E-05,0.000124376,2.53E-05,8.37E-06,0.0000596,0.000118323,1.403566885,6.600757567,8.000000035,1.499488862,-1.555645971
4.10E-05,0.000149565,2.45E-05,8.12E-06,0.0000435,0.000157489,1.204159459,6.800735062,7.999999809,1.487655095,-1.556091504
4.88E-05,0.000186545,2.38E-05,7.89E-06,0.000036,0.000183383,1.004987559,7.000714148,7.999999896,1.471127674,-1.556511584
5.98E-05,0.000247517,2.31E-05,7.66E-06,0.0000827,0.000244828,0.806225773,7.200694482,8.000000069,1.446441332,-1.556908331
7.63E-05,0.000367634,2.24E-05,7.45E-06,0.0000661,0.000373635,0.608276252,7.400675764,8.000000118,1.405647649,-1.557283636
0.000103975,0.000857088,2.18E-05,7.25E-06,0.000109641,0.000852269,0.412310563,7.60065768,7.999999814,1.325817664,-1.557639191
0.000325145,0.016265338,2.12E-05,7.06E-06,0.000306069,0.016259092,0.223606798,7.800640803,7.999999804,1.107148718,-1.557976516
0.030619951,0.035442291,2.06E-05,6.89E-06,0.030599396,0.035444242,0.1,8.000625119,8.000000143,0,-1.558296978
0.018623001,0.000537128,2.01E-05,6.72E-06,0.018605714,0.000543382,0.223606798,8.2006095,7.999999766,-1.107148718,-1.558601809
0.001385562,0.000168015,1.96E-05,6.55E-06,0.001405091,0.000170373,0.412310563,8.40059505,7.999999833,-1.325817664,-1.558892127
0.000528356,0.000103398,1.91E-05,6.40E-06,0.000536164,0.000101999,0.608276252,8.600581495,8.00000012,-1.405647649,-1.559168944
0.000322223,7.54E-05,1.87E-05,6.25E-06,0.000320896,0.0000724,0.806225773,8.800568527,8.000000365,-1.446441332,-1.55943318
0.000230982,5.94E-05,1.83E-05,6.11E-06,0.000224799,0.0000556,1.004987559,9.000555622,8.000000087,-1.471127674,-1.559685673
