room_dim_meter,theta1_true,theta2_true,RSS1_combined,RSS2_combined,d1,d2
8,1.54448661,-1.546991301,2.12E-05,4.68E-05,3.801315562,4.201190308
8,1.54302569,-1.548072966,3.87E-05,3.01E-05,3.601388621,4.401136217
8,1.541393039,-1.54906062,5.05E-05,5.34E-05,3.40147027,4.601086828
8,1.539556493,-1.549966007,1.98E-05,5.55E-05,3.201562119,4.801041554
8,1.537475331,-1.550798993,4.57E-05,4.18E-05,3.001666204,5.0009999
8,1.535097214,-1.551567928,3.41E-05,6.21E-05,2.801785145,5.20096145
8,1.532353737,-1.552279925,1.39E-05,6.71E-05,2.601922366,5.400925847
8,1.529153748,-1.552941082,4.19E-05,5.83E-05,2.40208243,5.600892786
8,1.525373047,-1.553556656,3.92E-05,7.86E-05,2.202271555,5.800862005
8,1.520837931,-1.554131203,7.72E-06,8.80E-05,2.002498439,6.000833275
8,1.515297822,-1.554668693,4.38E-05,8.39E-05,1.802775638,6.200806399
8,1.508377517,-1.555172598,5.01E-05,0.000111189,1.603121954,6.400781202
8,1.499488862,-1.555645971,1.22E-05,0.000127862,1.403566885,6.600757532
8,1.487655095,-1.556091504,5.62E-05,0.00014235,1.204159458,6.800735254
8,1.471127674,-1.556511584,5.93E-05,0.000192074,1.004987562,7.000714249
8,1.446441332,-1.556908331,4.29E-05,0.000248482,0.806225775,7.200694411
8,1.405647649,-1.557283636,8.86E-05,0.000364188,0.608276253,7.400675645
8,1.325817664,-1.557639191,0.000100053,0.000860228,0.412310563,7.600657866
8,1.107148718,-1.557976516,0.000340255,0.016271437,0.223606798,7.800640999
8,0,-1.558296978,0.030638458,0.035438368,0.1,8.000624976
8,-1.107148718,-1.558601809,0.018638217,0.000532115,0.223606798,8.200609733
8,-1.325817664,-1.558892127,0.00136654,0.000164292,0.412310563,8.400595217
8,-1.405647649,-1.559168944,0.000518827,0.000102962,0.608276253,8.600581376
8,-1.446441332,-1.55943318,0.000322593,7.69E-05,0.806225775,8.800568163
8,-1.471127674,-1.559685673,0.000235533,6.21E-05,1.004987562,9.000555538
8,-1.487655095,-1.55992719,0.000186375,5.22E-05,1.204159458,9.200543462
8,-1.499488862,-1.56015843,0.000155852,4.50E-05,1.403566885,9.4005319
8,-1.508377517,-1.560380037,0.000134548,3.96E-05,1.603121954,9.600520819
8,-1.515297822,-1.560592599,0.000117597,3.55E-05,1.802775638,9.800510191
8,-1.520837931,-1.56079666,0.000104573,3.23E-05,2.002498439,10.00049999
8,-1.525373047,-1.560992719,9.51E-05,2.99E-05,2.202271555,10.20049018
8,-1.529153748,-1.561181238,8.75E-05,2.75E-05,2.40208243,10.40048076
8,-1.532353737,-1.561362644,8.05E-05,2.51E-05,2.601922366,10.60047169
8,-1.535097214,-1.561537332,7.41E-05,2.39E-05,2.801785145,10.80046295
8,-1.537475331,-1.561705668,6.89E-05,2.25E-05,3.001666204,11.00045454
8,-1.539556493,-1.561867993,6.49E-05,2.13E-05,3.201562119,11.20044642
8,-1.541393039,-1.562024622,6.17E-05,2.02E-05,3.40147027,11.40043859
8,-1.54302569,-1.562175851,5.85E-05,1.90E-05,3.601388621,11.60043103
8,-1.54448661,-1.562321953,5.54E-05,1.78E-05,3.801315562,11.80042372
8,1.492012366,-1.499488862,2.39E-05,4.74E-05,3.811823711,4.210700654
8,1.487655095,-1.502719869,3.85E-05,3.90E-05,3.612478374,4.410215414
8,1.482788953,-1.505671163,5.11E-05,6.34E-05,3.413209633,4.609772229
8,1.477319546,-1.508377517,1.28E-05,5.38E-05,3.214031736,4.809365863
