room_dim_meter,theta_true,RSS1_dB,RSS2_dB
1,-180,-48.6430516,-49.12260995
1,-179,-49.05861195,-48.60440533
1,-178,-49.48326669,-48.10586827
1,-177,-49.89628435,-47.61358032
1,-176,-50.31540746,-47.14182492
1,-175,-50.71582237,-46.68197575
1,-174,-51.11860375,-46.24261741
1,-173,-51.49489794,-45.81982521
1,-172,-51.8692308,-45.41676045
1,-171,-52.20898467,-45.03415237
1,-170,-52.54221038,-44.66994678
1,-169,-52.83316009,-44.3295016
1,-168,-53.11334044,-44.00571059
1,-167,-53.34494111,-43.70853515
1,-166,-53.56256597,-43.42596197
1,-165,-53.7278011,-43.17250927
1,-164,-53.87753454,-42.9314082
1,-163,-53.97440884,-42.72164664
1,-162,-54.05623664,-42.52188042
1,-161,-54.08830787,-42.35542353
1,-160,-54.10754469,-42.19658386
1,-159,-54.08318656,-42.07278881
1,-158,-54.04928771,-41.95428781
1,-157,-53.97996441,-41.87232967
1,-156,-53.90463563,-41.79346869
1,-155,-53.80287066,-41.75239574
1,-154,-53.69817504,-41.71241657
1,-153,-53.57585651,-41.71119022
1,-152,-53.45281649,-41.71041157
1,-151,-53.3201464,-41.74807465
1,-150,-53.18798608,-41.78635381
1,-149,-53.05305272,-41.86014353
1,-148,-52.91954914,-41.9364537
1,-147,-52.78905466,-42.04528091
1,-146,-52.65949108,-42.15870411
1,-145,-52.53655001,-42.30151984
1,-144,-52.41467652,-42.45106614
1,-143,-52.30162394,-42.62684394
1,-142,-52.18993976,-42.81142955
1,-141,-52.08805318,-43.01913583
1,-140,-51.98795317,-43.23754535
1,-139,-51.8977383,-43.47609611
1,-138,-51.80979832,-43.72692667
1,-137,-51.73122162,-43.99512883
1,-136,-51.65543292,-44.27671425
1,-135,-51.58810186,-44.57318929
1,-134,-51.52405366,-44.88350302
1,-133,-51.46734932,-45.20659067
1,-132,-51.41436204,-45.54312694
1,-131,-51.36752793,-45.89076675
1,-130,-51.32473845,-46.25040144
1,-129,-51.28692693,-46.61999139
1,-128,-51.25332485,-46.99882674
1,-127,-51.22359944,-47.38705985
1,-126,-51.19800937,-47.78026137
1,-125,-51.17529708,-48.1829458
1,-124,-51.15629799,-48.58458685
1,-123,-51.13928183,-48.99646149
1,-122,-51.12504989,-49.39940109
1,-121,-51.11198842,-49.81397073
1,-120,-51.10004687,-50.20980509
1,-119,-51.0885063,-50.61923627
1,-118,-51.07536788,-50.99838414
1,-117,-51.0618581,-51.39352714
1,-116,-51.04255998,-51.74663752
1,-115,-51.02208803,-52.11413239
1,-114,-50.99084353,-52.43396106
1,-113,-50.95669858,-52.76078848
1,-112,-50.9042,-53.03811014
1,-111,-50.84468012,-53.31378569
1,-110,-50.75977601,-53.54062921
1,-109,-50.6621326,-53.75706736
1,-108,-50.53204323,-53.92801318
1,-107,-50.38211191,-54.08088183
1,-106,-50.19394939,-54.19404013
1,-105,-49.97838095,-54.28360314
1,-104,-49.72182455,-54.34101012
1,-103,-49.43118902,-54.37208964
1,-102,-49.10140142,-54.3793268
1,-101,-48.73298443,-54.36035252
1,-100,-48.33237155,-54.32551235
1,-99,-47.89118639,-54.26700049
1,-98,-47.42895307,-54.19936931
1,-97,-46.92637096,-54.11233914
1,-96,-46.41611306,-54.02119261
1,-95,-45.86693665,-53.91591991
1,-94,-45.32358377,-53.80967101
1,-93,-44.74304948,-53.6949381
1,-92,-44.18044257,-53.58068424
1,-91,-43.58217732,-53.4634842
1,-90,-43.01179219,-53.34687589
1,-89,-42.40843362,-53.23383055
1,-88,-41.83542842,-53.12103035
1,-87,-41.23917083,-53.01391309
1,-86,-40.66925732,-52.90711361
1,-85,-40.08558755,-52.8077794
1,-84,-39.52409695,-52.7093373
1,-83,-38.95671692,-52.61887073
1,-82,-38.40752175,-52.53017251
1,-81,-37.8588446,-52.44908514
1,-80,-37.32474425,-52.37078137
1,-79,-36.79628533,-52.29917331
1,-78,-36.27931003,-52.23137561
1,-77,-35.77197518,-52.16906267
1,-76,-35.2736116,-52.11150155
1,-75,-34.78790155,-52.05811133
1,-74,-34.30925471,-52.01025619
1,-73,-33.84540666,-51.96529628
1,-72,-33.38731385,-51.92643932
1,-71,-32.94539837,-51.88933939
1,-70,-32.50850858,-51.8586442
1,-69,-32.08849539,-51.82877178
1,-68,-31.67332448,-51.80528534
1,-67,-31.27512705,-51.78193284
1,-66,-30.88209605,-51.76455755
1,-65,-30.50573001,-51.74689577
1,-64,-30.13658888,-51.73431501
1,-63,-29.78248613,-51.72148992
1,-62,-29.4365952,-51.71327702
1,-61,-29.10394003,-51.70488091
1,-60,-28.78108461,-51.69749042
1,-59,-28.47020513,-51.69006297
1,-58,-28.17019557,-51.68090806
1,-57,-27.88138964,-51.67117218
1,-56,-27.6040648,-51.65663142
1,-55,-27.33760471,-51.64003862
1,-54,-27.08283347,-51.61510994
1,-53,-26.83896866,-51.58546719
1,-52,-26.60665013,-51.54345539
1,-51,-26.38560868,-51.49264161
1,-50,-26.1756715,-51.42502235
1,-49,-25.97766064,-51.34299083
1,-48,-25.79006184,-51.23967523
1,-47,-25.61526799,-51.11501208
