sample_id,split,domain_id,is_labeled,rss1_combined_dbm,rss2_combined_dbm,delta_db,sum_db,log_ratio,c1_dbm,c2_dbm,rss_a_p1_dbm,rss_b_p1_dbm,rss_a_p2_dbm,rss_b_p2_dbm,theta1_rad,theta2_rad,d1_m,d2_m,room_dim_m,mask_4rss_is_gt
0,train,0,1,-12.700257143004443,-14.934949675951279,-2.234692532946836,-27.635206818955723,-0.5145569713788488,-12.700257143004443,-14.934949675951279,-18.860566476931634,-13.904055907747798,-13.872161432802645,-18.761483590329142,1.54448661,-1.546991301,3.801315628,4.201190376,8.000000135,1
1,train,0,1,-14.236586497942072,-12.572748686953016,1.6638378109890564,-26.80933518489509,0.3831128140743242,-14.236586497942072,-12.572748686953016,-18.632794328435935,-13.645162531850879,-14.089353929735008,-18.96196279044043,1.54302569,-1.548072966,3.601388595,4.401136226,7.999999983,1
2,train,0,1,-15.436339668709568,-13.419886033428876,2.0164536352806923,-28.856225702138445,0.4643056081310975,-15.436339668709568,-13.419886033428876,-18.35647144215563,-13.381873144627388,-14.306260903849541,-19.1721462968355,1.541393039,-1.54906062,3.401470318,4.601086838,8.000000058,1
3,train,0,1,-12.967086218813385,-13.91473966422806,-0.9476534454146748,-26.881825883041444,-0.21820526967362755,-12.967086218813385,-13.91473966422806,-18.096683018297085,-13.098039199714863,-14.497716469449058,-19.355420107730815,1.539556493,-1.549966007,3.201562081,4.801041609,8.000000018,1
4,train,0,1,-14.62180904926726,-12.006594505464182,2.615214543803077,-26.62840355473144,0.602175402354219,-14.62180904926726,-12.006594505464182,-17.825160557860936,-12.790142558462609,-14.685210829577448,-19.546770212133428,1.537475331,-1.550798993,3.001666211,5.000999945,8.000000052,1
5,train,0,1,-16.478174818886377,-12.494916051486538,3.983258767399839,-28.973090870372914,0.9171792259352708,-16.478174818886377,-12.494916051486538,-17.520267336381934,-12.464169411070934,-14.86782399932061,-19.706162223147903,1.535097214,-1.551567928,2.801785136,5.200961532,8.000000073,1
6,train,0,1,-13.045183235098026,-12.7083521030723,0.33683113202572557,-25.753535338170327,0.07755823434587444,-13.045183235098026,-12.7083521030723,-17.189666327522726,-12.111248842245832,-15.044556624535515,-19.871627752948278,1.532353737,-1.552279925,2.601922382,5.400925926,8.000000095,1
7,train,0,1,-14.736607226101558,-11.169066414243101,3.567540811858457,-25.90567364034466,0.8214566292033161,-14.736607226101558,-11.169066414243101,-16.84029654543082,-11.72630726946175,-15.214335044061567,-20.043648054024498,1.529153748,-1.552941082,2.402082447,5.600892894,8.000000125,1
8,train,0,1,-17.423214251308153,-11.33122185662501,6.0919923946831425,-28.754436107933163,1.40273308746305,-17.423214251308153,-11.33122185662501,-16.45891560852599,-11.301817920206718,-15.37602002101044,-20.199966284162535,1.525373047,-1.553556656,2.202271536,5.800862139,8.000000116,1
9,train,0,1,-12.85670240254767,-11.232050237992993,1.6246521645546768,-24.088752640540662,0.37408998554041073,-12.85670240254767,-11.232050237992993,-16.05548319173784,-10.835460514500749,-15.528419686577807,-20.352690789463708,1.520837931,-1.554131203,2.002498437,6.000833246,7.999999968,1
