sample_id,split,domain_id,is_labeled,c1_rel_db,c2_rel_db,delta_rel_db,sum_rel_db,log_ratio,c1_dbm,c2_dbm,rss_a_p1_rel_db,rss_b_p1_rel_db,rss_a_p2_rel_db,rss_b_p2_rel_db,theta1_rad,theta2_rad,d1_m,d2_m,room_dim_m,mask_4rss_is_gt
0,train,0,1,-42.70025714300444,-44.93494967595127,-2.2346925329468306,-87.63520681895571,-0.5145569713788488,-72.70025714300445,-74.93494967595127,-48.86056647693163,-43.9040559077478,-43.87216143280264,-48.76148359032914,1.54448661,-1.546991301,3.801315628,4.201190376,8.000000135,1
1,train,0,1,-44.23658649794207,-42.57274868695302,1.663837810989051,-86.80933518489509,0.38311281407432374,-74.23658649794207,-72.57274868695302,-48.632794328435935,-43.64516253185088,-44.089353929735005,-48.961962790440424,1.54302569,-1.548072966,3.601388595,4.401136226,7.999999983,1
2,train,0,1,-45.43633966870957,-43.419886033428874,2.0164536352806977,-88.85622570213845,0.46430560813109917,-75.43633966870956,-73.41988603342887,-48.35647144215563,-43.38187314462739,-44.30626090384954,-49.1721462968355,1.541393039,-1.54906062,3.401470318,4.601086838,8.000000058,1
3,train,0,1,-42.96708621881338,-43.914739664228065,-0.9476534454146872,-86.88182588304144,-0.21820526967362905,-72.96708621881338,-73.91473966422807,-48.096683018297085,-43.09803919971486,-44.49771646944906,-49.35542010773082,1.539556493,-1.549966007,3.201562081,4.801041609,8.000000018,1
4,train,0,1,-44.621809049267256,-42.00659450546418,2.615214543803077,-86.62840355473143,0.602175402354219,-74.62180904926726,-72.00659450546418,-47.82516055786093,-42.790142558462605,-44.68521082957744,-49.546770212133424,1.537475331,-1.550798993,3.001666211,5.000999945,8.000000052,1
5,train,0,1,-46.47817481888637,-42.49491605148654,3.983258767399832,-88.97309087037291,0.9171792259352697,-76.47817481888637,-72.49491605148654,-47.520267336381934,-42.464169411070934,-44.867823999320606,-49.7061622231479,1.535097214,-1.551567928,2.801785136,5.200961532,8.000000073,1
6,train,0,1,-43.04518323509803,-42.7083521030723,0.3368311320257291,-85.75353533817034,0.07755823434587444,-73.04518323509802,-72.7083521030723,-47.18966632752273,-42.11124884224583,-45.04455662453552,-49.87162775294828,1.532353737,-1.552279925,2.601922382,5.400925926,8.000000095,1
7,train,0,1,-44.73660722610156,-41.169066414243105,3.567540811858457,-85.90567364034467,0.8214566292033166,-74.73660722610157,-71.1690664142431,-46.840296545430824,-41.72630726946175,-45.21433504406157,-50.0436480540245,1.529153748,-1.552941082,2.402082447,5.600892894,8.000000125,1
8,train,0,1,-47.42321425130815,-41.331221856625014,6.091992394683139,-88.75443610793317,1.4027330874630495,-77.42321425130815,-71.331221856625,-46.458915608525984,-41.301817920206716,-45.37602002101043,-50.19996628416254,1.525373047,-1.553556656,2.202271536,5.800862139,8.000000116,1
9,train,0,1,-42.85670240254767,-41.23205023799299,1.624652164554675,-84.08875264054066,0.3740899855404112,-72.85670240254767,-71.232050237993,-46.05548319173784,-40.835460514500745,-45.528419686577806,-50.35269078946371,1.520837931,-1.554131203,2.002498437,6.000833246,7.999999968,1
10,train,0,1,-44.461169733561256,-39.94330537831835,4.5178643552429065,-84.4044751118796,1.0402767116551472,-74.46116973356126,-69.94330537831834,-45.590909179347825,-40.315170514460654,-45.68636235841013,-50.49635145623877,1.515297822,-1.554668693,1.802775652,6.200806418,8.000000033,1
