step,metric,value
0,train/loss_total,4.505056858062744
0,train/sup0_nll,4.505056858062744
0,train/sup1_nll,0.0
0,train/recon_data_raw,0.0
0,train/recon_mix_norm,0.0
0,train/recon_mix_raw,0.0
0,train/recon_phys,0.0
0,train/deg_rmse,101.61341094970703
0,train/kappa_mean,0.9746230244636536
0,train/mix_weight,0.0
0,train/mix_weighted_norm,0.0
0,train/mix_var,1.0
0,train/m3_enabled,1.0
0,train/m3_gate_mean,0.0
0,train/m3_gate_p10,0.0
0,train/m3_gate_p90,0.0
0,train/m3_keep_ratio,0.0
0,train/m3_resid_abs_mean_deg,0.0
0,train/m3_resid_abs_p90_deg,0.0
0,train/m3_delta_clip_rate,0.0
0,train/m3_kappa_corr_spearman,0.0
0,train/m3_residual_penalty,0.0
0,train/m3_gate_entropy,0.0
10,train/loss_total,3.264383316040039
10,train/sup0_nll,3.264383316040039
10,train/sup1_nll,0.0
10,train/recon_data_raw,0.0
10,train/recon_mix_norm,0.0
10,train/recon_mix_raw,0.0
10,train/recon_phys,0.0
10,train/deg_rmse,62.93962097167969
10,train/kappa_mean,0.5716506838798523
10,train/mix_weight,0.0
10,train/mix_weighted_norm,0.0
10,train/mix_var,1.0
10,train/m3_enabled,1.0
10,train/m3_gate_mean,0.0
10,train/m3_gate_p10,0.0
10,train/m3_gate_p90,0.0
10,train/m3_keep_ratio,0.0
10,train/m3_resid_abs_mean_deg,0.0
10,train/m3_resid_abs_p90_deg,0.0
10,train/m3_delta_clip_rate,0.0
10,train/m3_kappa_corr_spearman,0.0
10,train/m3_residual_penalty,0.0
10,train/m3_gate_entropy,0.0
20,train/loss_total,3.0256080627441406
20,train/sup0_nll,3.0256080627441406
20,train/sup1_nll,0.0
20,train/recon_data_raw,0.0
20,train/recon_mix_norm,0.0
20,train/recon_mix_raw,0.0
20,train/recon_phys,0.0
20,train/deg_rmse,56.13080596923828
20,train/kappa_mean,0.8597949743270874
20,train/mix_weight,0.0
20,train/mix_weighted_norm,0.0
20,train/mix_var,1.0
20,train/m3_enabled,1.0
20,train/m3_gate_mean,0.0
20,train/m3_gate_p10,0.0
20,train/m3_gate_p90,0.0
