step,metric,value
0,train/loss_total,4.318613052368164
0,train/sup0_nll,4.318613052368164
0,train/sup1_nll,0.0
0,train/recon_data_raw,0.0
0,train/recon_mix_norm,0.0
0,train/recon_mix_raw,0.0
0,train/recon_phys,0.0
0,train/deg_rmse,104.92979431152344
0,train/kappa_mean,0.937197208404541
0,train/mix_weight,0.0
0,train/mix_weighted_norm,0.0
0,train/mix_var,1.0
10,train/loss_total,3.1803627014160156
10,train/sup0_nll,3.1803627014160156
10,train/sup1_nll,0.0
10,train/recon_data_raw,0.0
10,train/recon_mix_norm,0.0
10,train/recon_mix_raw,0.0
10,train/recon_phys,0.0
10,train/deg_rmse,70.01788330078125
10,train/kappa_mean,0.5670923590660095
10,train/mix_weight,0.0
10,train/mix_weighted_norm,0.0
10,train/mix_var,1.0
20,train/loss_total,3.1116130352020264
20,train/sup0_nll,3.1116130352020264
20,train/sup1_nll,0.0
20,train/recon_data_raw,0.0
20,train/recon_mix_norm,0.0
20,train/recon_mix_raw,0.0
20,train/recon_phys,0.0
20,train/deg_rmse,69.80323028564453
20,train/kappa_mean,0.7924779057502747
20,train/mix_weight,0.0
20,train/mix_weighted_norm,0.0
20,train/mix_var,1.0
30,train/loss_total,3.0704431533813477
30,train/sup0_nll,3.0704431533813477
30,train/sup1_nll,0.0
30,train/recon_data_raw,0.0
30,train/recon_mix_norm,0.0
30,train/recon_mix_raw,0.0
30,train/recon_phys,0.0
30,train/deg_rmse,68.86711883544922
30,train/kappa_mean,1.135754942893982
30,train/mix_weight,0.0
30,train/mix_weighted_norm,0.0
30,train/mix_var,1.0
40,train/loss_total,2.82964825630188
40,train/sup0_nll,2.82964825630188
40,train/sup1_nll,0.0
40,train/recon_data_raw,0.0
40,train/recon_mix_norm,0.0
40,train/recon_mix_raw,0.0
40,train/recon_phys,0.0
40,train/deg_rmse,56.20282745361328
40,train/kappa_mean,1.5059038400650024
40,train/mix_weight,0.0
40,train/mix_weighted_norm,0.0
40,train/mix_var,1.0
50,train/loss_total,2.8605525493621826
50,train/sup0_nll,2.8605525493621826
50,train/sup1_nll,0.0
50,train/recon_data_raw,0.0
50,train/recon_mix_norm,0.0
50,train/recon_mix_raw,0.0
50,train/recon_phys,0.0
50,train/deg_rmse,60.760520935058594
50,train/kappa_mean,1.5477429628372192
50,train/mix_weight,0.0
50,train/mix_weighted_norm,0.0
50,train/mix_var,1.0
60,train/loss_total,2.410902261734009
60,train/sup0_nll,2.410902261734009
60,train/sup1_nll,0.0
60,train/recon_data_raw,0.0
60,train/recon_mix_norm,0.0
60,train/recon_mix_raw,0.0
60,train/recon_phys,0.0
60,train/deg_rmse,54.85365676879883
60,train/kappa_mean,1.8218127489089966
60,train/mix_weight,0.0
60,train/mix_weighted_norm,0.0
60,train/mix_var,1.0
70,train/loss_total,2.265073776245117
70,train/sup0_nll,2.265073776245117
70,train/sup1_nll,0.0
70,train/recon_data_raw,0.0
70,train/recon_mix_norm,0.0
70,train/recon_mix_raw,0.0
70,train/recon_phys,0.0
70,train/deg_rmse,52.16358947753906
70,train/kappa_mean,2.3011763095855713
70,train/mix_weight,0.0
70,train/mix_weighted_norm,0.0
