step,metric,value
0,train/loss_total,8.490367889404297
0,train/sup0_nll,4.203404903411865
0,train/sup1_nll,4.28696346282959
0,train/recon_data_raw,4982.89013671875
0,train/recon_mix_norm,71.72246551513672
0,train/recon_mix_raw,4471.9599609375
0,train/recon_phys,0.0
0,train/deg_rmse,89.74414825439453
0,train/kappa_mean,0.9653337001800537
0,train/mix_weight,0.0
0,train/mix_weighted_norm,0.0
0,train/mix_var,62.350894927978516
0,train/m3_enabled,1.0
0,train/m3_gate_mean,0.0
0,train/m3_gate_p10,0.0
0,train/m3_gate_p90,0.0
0,train/m3_keep_ratio,0.0
0,train/m3_resid_abs_mean_deg,0.0
0,train/m3_resid_abs_p90_deg,0.0
0,train/m3_delta_clip_rate,0.0
0,train/m3_kappa_corr_spearman,0.21444281524926687
0,train/m3_residual_penalty,0.0
0,train/m3_gate_entropy,1.4828788863496811e-08
0,train/m3_gate_threshold,0.5
10,train/loss_total,8.244789123535156
10,train/sup0_nll,4.089791774749756
10,train/sup1_nll,4.154996871948242
10,train/recon_data_raw,5089.107421875
10,train/recon_mix_norm,49.22480010986328
10,train/recon_mix_raw,4701.99658203125
10,train/recon_phys,0.0
10,train/deg_rmse,84.15546417236328
10,train/kappa_mean,0.9179839491844177
10,train/mix_weight,0.0
10,train/mix_weighted_norm,0.0
10,train/mix_var,95.52088928222656
10,train/m3_enabled,1.0
10,train/m3_gate_mean,0.0
10,train/m3_gate_p10,0.0
10,train/m3_gate_p90,0.0
10,train/m3_keep_ratio,0.0
10,train/m3_resid_abs_mean_deg,0.0
10,train/m3_resid_abs_p90_deg,0.0
10,train/m3_delta_clip_rate,0.0
10,train/m3_kappa_corr_spearman,0.24486803519061584
10,train/m3_residual_penalty,0.0
10,train/m3_gate_entropy,1.4828788863496811e-08
10,train/m3_gate_threshold,0.5
20,train/loss_total,8.780628204345703
20,train/sup0_nll,4.158432960510254
20,train/sup1_nll,4.622195243835449
20,train/recon_data_raw,5047.26171875
20,train/recon_mix_norm,58.88901138305664
20,train/recon_mix_raw,4514.98681640625
20,train/recon_phys,0.0
20,train/deg_rmse,104.39208221435547
20,train/kappa_mean,0.9839801788330078
20,train/mix_weight,0.0
20,train/mix_weighted_norm,0.0
20,train/mix_var,76.66942596435547
20,train/m3_enabled,1.0
20,train/m3_gate_mean,0.0
20,train/m3_gate_p10,0.0
20,train/m3_gate_p90,0.0
20,train/m3_keep_ratio,0.0
20,train/m3_resid_abs_mean_deg,0.0
20,train/m3_resid_abs_p90_deg,0.0
20,train/m3_delta_clip_rate,0.0
20,train/m3_kappa_corr_spearman,0.24413489736070382
20,train/m3_residual_penalty,0.0
20,train/m3_gate_entropy,1.4828788863496811e-08
20,train/m3_gate_threshold,0.5
30,train/loss_total,8.331377029418945
30,train/sup0_nll,3.8713126182556152
30,train/sup1_nll,4.460063934326172
30,train/recon_data_raw,5084.28076171875
30,train/recon_mix_norm,60.64725875854492
30,train/recon_mix_raw,4662.37646484375
30,train/recon_phys,0.0
30,train/deg_rmse,97.00089263916016
30,train/kappa_mean,0.9591359496116638
30,train/mix_weight,0.0
30,train/mix_weighted_norm,0.0
30,train/mix_var,76.876953125
30,train/m3_enabled,1.0
30,train/m3_gate_mean,0.0
30,train/m3_gate_p10,0.0
30,train/m3_gate_p90,0.0
30,train/m3_keep_ratio,0.0
30,train/m3_resid_abs_mean_deg,0.0
30,train/m3_resid_abs_p90_deg,0.0
30,train/m3_delta_clip_rate,0.0
30,train/m3_kappa_corr_spearman,0.12903225806451613
30,train/m3_residual_penalty,0.0
30,train/m3_gate_entropy,1.4828788863496811e-08
30,train/m3_gate_threshold,0.5
40,train/loss_total,7.985773086547852
40,train/sup0_nll,4.092503547668457
40,train/sup1_nll,3.8932695388793945
40,train/recon_data_raw,5467.7265625
40,train/recon_mix_norm,84.55690002441406
40,train/recon_mix_raw,5089.4716796875
40,train/recon_phys,0.0
40,train/deg_rmse,80.61039733886719
40,train/kappa_mean,0.8685995936393738
40,train/mix_weight,0.0
40,train/mix_weighted_norm,0.0
40,train/mix_var,60.189903259277344
40,train/m3_enabled,1.0
40,train/m3_gate_mean,0.0
40,train/m3_gate_p10,0.0
40,train/m3_gate_p90,0.0
40,train/m3_keep_ratio,0.0
40,train/m3_resid_abs_mean_deg,0.0
40,train/m3_resid_abs_p90_deg,0.0
40,train/m3_delta_clip_rate,0.0
40,train/m3_kappa_corr_spearman,0.26173020527859236
40,train/m3_residual_penalty,0.0
40,train/m3_gate_entropy,1.4828788863496811e-08
40,train/m3_gate_threshold,0.5
50,train/loss_total,8.197956085205078
50,train/sup0_nll,4.032341003417969
50,train/sup1_nll,4.165615081787109
50,train/recon_data_raw,5005.3251953125
