step,metric,value
0,train/loss_total,8.490367889404297
0,train/sup0_nll,4.203404903411865
0,train/sup1_nll,4.28696346282959
0,train/recon_data_raw,4982.89013671875
0,train/recon_mix_norm,71.72246551513672
0,train/recon_mix_raw,4471.9599609375
0,train/recon_phys,0.0
0,train/deg_rmse,89.74414825439453
0,train/kappa_mean,0.9653337001800537
0,train/mix_weight,0.0
0,train/mix_weighted_norm,0.0
0,train/mix_var,62.350894927978516
0,train/m3_enabled,1.0
0,train/m3_gate_mean,0.0
0,train/m3_gate_p10,0.0
0,train/m3_gate_p90,0.0
0,train/m3_keep_ratio,0.0
0,train/m3_resid_abs_mean_deg,0.0
0,train/m3_resid_abs_p90_deg,0.0
0,train/m3_delta_clip_rate,0.0
0,train/m3_kappa_corr_spearman,0.21444281524926687
0,train/m3_residual_penalty,0.0
0,train/m3_gate_entropy,7.414394076477038e-08
0,train/m3_gate_threshold,0.15
10,train/loss_total,8.244789123535156
10,train/sup0_nll,4.089791774749756
10,train/sup1_nll,4.154996871948242
10,train/recon_data_raw,5089.107421875
10,train/recon_mix_norm,49.22480010986328
10,train/recon_mix_raw,4701.99658203125
10,train/recon_phys,0.0
10,train/deg_rmse,84.15546417236328
10,train/kappa_mean,0.9179839491844177
10,train/mix_weight,0.0
10,train/mix_weighted_norm,0.0
10,train/mix_var,95.52088928222656
10,train/m3_enabled,1.0
10,train/m3_gate_mean,0.0
10,train/m3_gate_p10,0.0
10,train/m3_gate_p90,0.0
10,train/m3_keep_ratio,0.0
10,train/m3_resid_abs_mean_deg,0.0
10,train/m3_resid_abs_p90_deg,0.0
10,train/m3_delta_clip_rate,0.0
10,train/m3_kappa_corr_spearman,0.24486803519061584
10,train/m3_residual_penalty,0.0
10,train/m3_gate_entropy,7.414394076477038e-08
10,train/m3_gate_threshold,0.15
